name,true_label,pred_label,prec
512,1,0,0.44
513,1,1,0.56
514,1,0,0.07
515,1,0,0.29
516,1,1,0.6
517,1,1,0.57
518,1,1,0.68
519,1,1,0.63
520,1,0,0.33
521,1,1,0.83
522,1,1,0.56
523,1,0,0.31
524,1,0,0.39
525,1,1,0.6
526,1,1,0.7
527,1,1,0.64
528,1,1,0.63
529,1,1,0.63
530,1,1,0.53
531,1,1,0.71
532,1,0,0.37
533,1,1,0.71
534,1,1,0.87
535,1,1,0.77
536,1,1,0.74
537,1,1,0.51
538,1,1,0.66
539,1,1,0.63
540,1,1,0.54
541,1,1,0.57
542,1,1,0.72
543,1,1,1.0
544,1,1,0.7
545,1,1,0.69
546,1,1,0.59
547,1,1,0.59
548,1,0,0.41
549,1,0,0.34
550,1,0,0.23
551,1,0,0.44
552,1,1,0.54
553,1,1,0.67
554,1,1,0.76
555,1,1,0.52
556,1,1,0.64
557,1,1,0.89
558,1,1,0.55
559,1,1,0.72
560,1,1,0.75
561,1,0,0.43
562,1,0,0.37
563,1,0,0.49
564,1,0,0.33
565,1,1,0.58
566,1,1,0.5
567,1,1,0.63
568,1,0,0.43
569,1,0,0.46
570,1,1,0.58
571,1,1,0.77
572,1,1,0.66
573,1,1,0.52
574,1,1,0.73
575,1,1,0.54
576,1,0,0.36
577,1,1,0.7
578,1,0,0.44
579,1,1,0.66
580,1,1,0.58
581,1,1,0.53
582,1,1,0.76
583,1,1,0.76
584,1,1,0.62
585,1,1,0.65
586,1,1,0.68
587,1,1,0.5
588,1,1,0.67
589,1,1,0.52
590,1,1,0.86
591,1,1,0.52
592,1,0,0.46
593,1,1,0.8
594,1,0,0.3
595,1,1,0.73
596,1,1,0.58
597,1,1,0.56
598,1,0,0.42
599,1,0,0.41
600,1,0,0.41
601,1,1,0.66
602,1,1,0.55
603,1,1,0.67
604,1,1,0.64
605,1,1,0.66
606,1,1,0.59
607,1,1,0.83
608,1,1,0.72
609,1,1,0.61
610,1,1,0.56
611,1,1,0.79
612,1,1,0.56
613,1,1,0.57
614,1,1,0.53
615,1,1,0.67
616,1,1,0.54
617,1,0,0.48
618,1,1,0.82
619,1,1,0.57
620,1,1,0.69
621,1,1,0.56
622,1,1,0.84
623,1,0,0.48
624,1,1,0.53
625,1,1,0.82
626,1,0,0.41
627,1,1,0.73
628,1,1,0.6
629,1,0,0.47
630,1,1,0.8
631,1,1,0.65
632,1,1,0.77
633,1,0,0.46
634,1,1,0.67
635,1,0,0.48
636,1,0,0.1
637,0,1,0.71
638,0,1,0.59
639,0,1,0.64
640,0,0,0.04
641,0,1,0.68
642,0,0,0.06
643,0,1,0.52
644,0,0,0.44
645,0,1,0.6
646,0,0,0.42
647,0,0,0.42
648,0,0,0.29
649,0,0,0.11
650,0,1,0.8
651,0,0,0.2
652,0,1,0.58
653,0,1,0.89
654,0,1,0.68
655,0,0,0.32
656,0,0,0.43
657,0,0,0.48
658,0,1,0.63
659,0,0,0.19
660,0,0,0.0
661,0,0,0.07
662,0,0,0.05
663,0,0,0.11
664,0,0,0.39
665,0,0,0.42
666,0,0,0.04
667,0,0,0.14
668,0,0,0.49
669,0,0,0.1
670,0,0,0.1
671,0,0,0.35
672,0,0,0.24
673,0,0,0.11
674,0,0,0.1
675,0,0,0.0
676,0,0,0.27
677,0,1,0.5
678,0,0,0.23
679,0,1,0.59
680,0,0,0.03
681,0,0,0.0
682,0,0,0.18
