name,true_label,pred_label,prec
512,1,1,0.56
513,1,1,0.68
514,1,0,0.15
515,1,0,0.39
516,1,1,0.66
517,1,1,0.62
518,1,1,0.7
519,1,1,0.66
520,1,0,0.36
521,1,1,0.84
522,1,1,0.59
523,1,0,0.4
524,1,0,0.45
525,1,1,0.68
526,1,1,0.78
527,1,1,0.81
528,1,1,0.75
529,1,1,0.63
530,1,1,0.69
531,1,1,0.79
532,1,0,0.41
533,1,1,0.79
534,1,1,0.93
535,1,1,0.88
536,1,1,0.78
537,1,0,0.53
538,1,1,0.67
539,1,1,0.75
540,1,1,0.58
541,1,1,0.57
542,1,1,0.77
543,1,1,1.0
544,1,1,0.7
545,1,1,0.71
546,1,1,0.68
547,1,1,0.63
548,1,1,0.68
549,1,0,0.38
550,1,0,0.46
551,1,0,0.44
552,1,1,0.67
553,1,1,0.69
554,1,1,0.78
555,1,1,0.61
556,1,1,0.7
557,1,1,0.91
558,1,1,0.57
559,1,1,0.78
560,1,1,0.73
561,1,0,0.43
562,1,0,0.48
563,1,1,0.56
564,1,0,0.38
565,1,1,0.68
566,1,1,0.56
567,1,1,0.63
568,1,0,0.4
569,1,0,0.49
570,1,1,0.58
571,1,1,0.76
572,1,1,0.66
573,1,1,0.63
574,1,1,0.78
575,1,1,0.63
576,1,0,0.38
577,1,1,0.86
578,1,0,0.54
579,1,1,0.72
580,1,1,0.64
581,1,0,0.53
582,1,1,0.82
583,1,1,0.79
584,1,1,0.72
585,1,1,0.69
586,1,1,0.75
587,1,1,0.62
588,1,1,0.73
589,1,1,0.61
590,1,1,0.97
591,1,1,0.65
592,1,0,0.48
593,1,1,0.87
594,1,0,0.35
595,1,1,0.77
596,1,1,0.58
597,1,1,0.63
598,1,0,0.48
599,1,1,0.62
600,1,0,0.45
601,1,1,0.66
602,1,1,0.64
603,1,1,0.75
604,1,1,0.66
605,1,1,0.66
606,1,1,0.64
607,1,1,0.85
608,1,1,0.72
609,1,1,0.8
610,1,1,0.62
611,1,1,0.8
612,1,0,0.51
613,1,1,0.68
614,1,1,0.6
615,1,1,0.69
616,1,0,0.53
617,1,0,0.52
618,1,1,0.84
619,1,1,0.61
620,1,1,0.7
621,1,1,0.64
622,1,1,0.89
623,1,0,0.54
624,1,0,0.53
625,1,1,0.85
626,1,0,0.43
627,1,1,0.72
628,1,1,0.62
629,1,1,0.61
630,1,1,0.91
631,1,1,0.74
632,1,1,0.82
633,1,0,0.5
634,1,1,0.72
635,1,0,0.44
636,1,0,0.1
637,0,1,0.77
638,0,1,0.73
639,0,1,0.72
640,0,0,0.04
641,0,1,0.84
642,0,0,0.06
643,0,1,0.61
644,0,0,0.52
645,0,1,0.73
646,0,0,0.46
647,0,0,0.55
648,0,0,0.52
649,0,0,0.21
650,0,1,0.9
651,0,0,0.2
652,0,1,0.65
653,0,1,0.97
654,0,1,0.64
655,0,0,0.32
656,0,1,0.57
657,0,1,0.6
658,0,1,0.6
659,0,0,0.19
660,0,0,0.02
661,0,0,0.12
662,0,0,0.05
663,0,0,0.11
664,0,0,0.52
665,0,0,0.5
666,0,0,0.09
667,0,0,0.14
668,0,1,0.6
669,0,0,0.1
670,0,0,0.16
671,0,0,0.35
672,0,0,0.19
673,0,0,0.11
674,0,0,0.1
675,0,0,0.0
676,0,0,0.3
677,0,1,0.62
678,0,0,0.31
679,0,1,0.73
680,0,0,0.06
681,0,0,0.05
682,0,0,0.24
683,0,0,0.06
684,0,0,0.49
685,0,0,0.17
686,0,0,0.21
687,0,0,0.04
688,0,0,0.12
689,0,0,0.0
690,0,1,0.67
691,0,1,0.65
692,0,0,0.23
693,0,0,0.05
694,0,0,0.05
695,0,0,0.42
696,0,0,0.0
697,0,0,0.23
698,0,0,0.2
699,0,0,0.26
700,0,0,0.39
701,0,0,0.19
702,0,0,0.0
703,0,1,0.75
704,0,0,0.05
705,0,1,0.76
706,0,0,0.35
707,0,0,0.17
708,0,1,0.58
709,0,0,0.18
710,0,0,0.39
711,0,0,0.16
712,0,0,0.24
713,0,0,0.0
714,0,0,0.13
715,0,0,0.39
716,0,1,0.68
717,0,0,0.17
718,0,0,0.36
719,0,0,0.24
720,0,0,0.0
721,0,0,0.17
722,0,0,0.14
723,0,0,0.23
724,0,0,0.06
725,0,0,0.18
726,0,0,0.32
727,0,0,0.0
728,0,1,0.68
729,0,0,0.43
730,0,0,0.24
731,0,0,0.44
732,0,0,0.12
733,0,0,0.11
734,0,0,0.45
735,0,0,0.1
736,0,0,0.29
737,0,0,0.47
738,0,0,0.46
739,0,0,0.21
740,0,0,0.25
