name,true_label,pred_label,prec
512,1,0,0.53
513,1,1,0.67
514,1,0,0.19
515,1,0,0.32
516,1,1,0.67
517,1,1,0.64
518,1,1,0.7
519,1,1,0.61
520,1,0,0.39
521,1,1,0.78
522,1,1,0.56
523,1,0,0.44
524,1,0,0.44
525,1,1,0.6
526,1,1,0.74
527,1,1,0.77
528,1,1,0.7
529,1,1,0.66
530,1,1,0.67
531,1,1,0.79
532,1,0,0.33
533,1,1,0.74
534,1,1,0.93
535,1,1,0.84
536,1,1,0.75
537,1,0,0.49
538,1,1,0.55
539,1,1,0.69
540,1,0,0.52
541,1,1,0.6
542,1,1,0.74
543,1,1,1.0
544,1,1,0.7
545,1,1,0.75
546,1,1,0.59
547,1,1,0.61
548,1,1,0.68
549,1,0,0.38
550,1,1,0.6
551,1,0,0.47
552,1,1,0.58
553,1,1,0.67
554,1,1,0.76
555,1,1,0.66
556,1,1,0.62
557,1,1,0.89
558,1,1,0.57
559,1,1,0.73
560,1,1,0.72
561,1,0,0.43
562,1,0,0.48
563,1,1,0.61
564,1,0,0.38
565,1,1,0.66
566,1,1,0.58
567,1,1,0.6
568,1,0,0.43
569,1,0,0.52
570,1,1,0.58
571,1,1,0.8
572,1,1,0.61
573,1,1,0.59
574,1,1,0.76
575,1,1,0.6
576,1,0,0.41
577,1,1,0.84
578,1,0,0.49
579,1,1,0.67
580,1,1,0.57
581,1,0,0.53
582,1,1,0.82
583,1,1,0.74
584,1,1,0.69
585,1,1,0.65
586,1,1,0.73
587,1,1,0.57
588,1,1,0.71
589,1,1,0.61
590,1,1,0.97
591,1,1,0.61
592,1,0,0.48
593,1,1,0.84
594,1,0,0.35
595,1,1,0.73
596,1,0,0.53
597,1,1,0.65
598,1,0,0.52
599,1,1,0.62
600,1,0,0.41
601,1,1,0.59
602,1,1,0.62
603,1,1,0.79
604,1,1,0.61
605,1,1,0.63
606,1,1,0.63
607,1,1,0.85
608,1,1,0.69
609,1,1,0.73
610,1,1,0.75
611,1,1,0.78
612,1,0,0.51
613,1,1,0.6
614,1,1,0.59
615,1,1,0.7
616,1,0,0.49
617,1,0,0.5
618,1,1,0.84
619,1,1,0.65
620,1,1,0.65
621,1,1,0.58
622,1,1,0.87
623,1,0,0.52
624,1,0,0.53
625,1,1,0.82
626,1,0,0.51
627,1,1,0.7
628,1,1,0.56
629,1,1,0.63
630,1,1,0.82
631,1,1,0.72
632,1,1,0.77
633,1,0,0.43
634,1,1,0.67
635,1,0,0.48
636,1,0,0.1
637,0,1,0.74
638,0,1,0.82
639,0,1,0.72
640,0,0,0.04
641,0,1,0.84
642,0,0,0.06
643,0,1,0.7
644,0,0,0.48
645,0,1,0.73
646,0,0,0.5
647,0,0,0.48
648,0,0,0.48
649,0,0,0.21
650,0,1,0.83
651,0,0,0.27
652,0,1,0.67
653,0,1,0.94
654,0,1,0.56
655,0,0,0.26
656,0,1,0.6
657,0,1,0.6
658,0,1,0.63
659,0,0,0.19
660,0,0,0.0
661,0,0,0.1
662,0,0,0.03
663,0,0,0.11
664,0,0,0.39
665,0,0,0.42
666,0,0,0.04
667,0,0,0.09
668,0,1,0.6
669,0,0,0.15
670,0,0,0.14
671,0,0,0.42
672,0,0,0.38
673,0,0,0.07
674,0,0,0.0
675,0,0,0.0
676,0,0,0.3
677,0,1,0.69
678,0,0,0.31
679,0,1,0.73
680,0,0,0.03
681,0,0,0.05
682,0,0,0.18
683,0,0,0.0
684,0,0,0.45
685,0,0,0.17
686,0,0,0.17
687,0,0,0.04
688,0,0,0.09
689,0,0,0.0
690,0,1,0.58
691,0,1,0.65
692,0,0,0.23
693,0,0,0.0
694,0,0,0.05
695,0,0,0.39
696,0,0,0.0
697,0,0,0.16
698,0,0,0.27
699,0,0,0.22
700,0,0,0.39
701,0,0,0.16
702,0,0,0.0
703,0,1,0.75
704,0,0,0.05
705,0,1,0.79
706,0,0,0.35
707,0,0,0.14
708,0,0,0.53
709,0,0,0.26
710,0,0,0.43
711,0,0,0.25
712,0,0,0.24
713,0,0,0.06
714,0,0,0.13
715,0,0,0.39
716,0,1,0.6
717,0,0,0.12
718,0,0,0.32
719,0,0,0.21
720,0,0,0.0
721,0,0,0.21
722,0,0,0.11
723,0,0,0.09
724,0,0,0.04
725,0,0,0.14
726,0,0,0.39
727,0,0,0.0
728,0,1,0.68
729,0,0,0.48
730,0,0,0.24
731,0,0,0.38
732,0,0,0.12
