name,true_label,pred_label,prec
512,1,0,0.56
513,1,1,0.61
514,1,0,0.15
515,1,0,0.32
516,1,1,0.66
517,1,1,0.61
518,1,1,0.7
519,1,1,0.62
520,1,0,0.33
521,1,1,0.81
522,1,0,0.59
523,1,0,0.37
524,1,0,0.42
525,1,0,0.56
526,1,1,0.67
527,1,1,0.74
528,1,1,0.7
529,1,1,0.63
530,1,0,0.58
531,1,1,0.71
532,1,0,0.3
533,1,1,0.71
534,1,1,0.89
535,1,1,0.77
536,1,1,0.77
537,1,0,0.45
538,1,1,0.67
539,1,1,0.7
540,1,0,0.51
541,1,0,0.57
542,1,1,0.74
543,1,1,1.0
544,1,1,0.67
545,1,1,0.69
546,1,1,0.64
547,1,0,0.56
548,1,0,0.56
549,1,0,0.4
550,1,0,0.42
551,1,0,0.38
552,1,1,0.61
553,1,1,0.69
554,1,1,0.76
555,1,1,0.61
556,1,1,0.64
557,1,1,0.87
558,1,0,0.55
559,1,1,0.74
560,1,1,0.67
561,1,0,0.43
562,1,0,0.38
563,1,0,0.53
564,1,0,0.42
565,1,1,0.61
566,1,0,0.5
567,1,1,0.61
568,1,0,0.38
569,1,0,0.49
570,1,0,0.53
571,1,1,0.71
572,1,1,0.63
573,1,0,0.56
574,1,1,0.73
575,1,0,0.57
576,1,0,0.31
577,1,1,0.82
578,1,0,0.44
579,1,1,0.67
580,1,1,0.61
581,1,0,0.56
582,1,1,0.8
583,1,1,0.76
584,1,1,0.64
585,1,1,0.62
586,1,1,0.71
587,1,0,0.57
588,1,1,0.71
589,1,0,0.55
590,1,1,0.92
591,1,1,0.61
592,1,0,0.41
593,1,1,0.87
594,1,0,0.35
595,1,1,0.77
596,1,0,0.58
597,1,1,0.6
598,1,0,0.45
599,1,0,0.56
600,1,0,0.43
601,1,0,0.59
602,1,1,0.62
603,1,1,0.79
604,1,1,0.65
605,1,1,0.63
606,1,1,0.61
607,1,1,0.87
608,1,1,0.74
609,1,1,0.68
610,1,1,0.62
611,1,1,0.79
612,1,0,0.52
613,1,1,0.66
614,1,0,0.59
615,1,1,0.7
616,1,0,0.47
617,1,0,0.48
618,1,1,0.84
619,1,0,0.54
620,1,1,0.65
621,1,0,0.58
622,1,1,0.87
623,1,0,0.52
624,1,0,0.53
625,1,1,0.85
626,1,0,0.42
627,1,1,0.7
628,1,1,0.6
629,1,0,0.55
630,1,1,0.8
631,1,1,0.7
632,1,1,0.8
633,1,0,0.43
634,1,1,0.74
635,1,0,0.48
636,1,0,0.1
637,0,1,0.71
638,0,1,0.82
639,0,1,0.8
640,0,0,0.04
641,0,1,0.72
642,0,0,0.06
643,0,1,0.7
644,0,0,0.44
645,0,1,0.67
646,0,0,0.42
647,0,0,0.52
648,0,0,0.39
649,0,0,0.16
650,0,1,0.9
651,0,0,0.27
652,0,1,0.65
653,0,1,0.92
654,0,1,0.64
655,0,0,0.26
656,0,0,0.57
657,0,1,0.6
658,0,1,0.6
659,0,0,0.19
660,0,0,0.0
661,0,0,0.12
662,0,0,0.03
663,0,0,0.11
664,0,0,0.43
665,0,0,0.58
666,0,0,0.13
667,0,0,0.14
668,0,0,0.51
669,0,0,0.07
670,0,0,0.12
671,0,0,0.35
672,0,0,0.19
673,0,0,0.11
674,0,0,0.1
675,0,0,0.0
676,0,0,0.27
677,0,1,0.69
678,0,0,0.31
679,0,1,0.64
680,0,0,0.06
681,0,0,0.05
682,0,0,0.18
683,0,0,0.0
684,0,0,0.47
685,0,0,0.11
686,0,0,0.17
687,0,0,0.04
688,0,0,0.06
689,0,0,0.05
690,0,1,0.67
691,0,1,0.6
692,0,0,0.26
693,0,0,0.05
694,0,0,0.1
695,0,0,0.36
696,0,0,0.0
697,0,0,0.13
698,0,0,0.2
699,0,0,0.26
700,0,0,0.39
701,0,0,0.2
702,0,0,0.0
703,0,1,0.79
704,0,0,0.05
705,0,1,0.7
706,0,0,0.24
707,0,0,0.16
708,0,0,0.47
709,0,0,0.18
710,0,0,0.39
711,0,0,0.16
712,0,0,0.14
713,0,0,0.0
714,0,0,0.13
715,0,0,0.35
716,0,1,0.62
717,0,0,0.17
718,0,0,0.27
719,0,0,0.24
720,0,0,0.0
721,0,0,0.08
722,0,0,0.14
723,0,0,0.18
724,0,0,0.04
725,0,0,0.14
726,0,0,0.29
727,0,0,0.0
728,0,1,0.65
729,0,0,0.43
730,0,0,0.19
731,0,0,0.38
732,0,0,0.12
733,0,0,0.06
734,0,0,0.35
735,0,0,0.1
736,0,0,0.24
737,0,0,0.4
738,0,0,0.46
739,0,0,0.17
740,0,0,0.2
741,0,0,0.48
742,0,0,0.38
743,0,0,0.36
744,0,0,0.0
745,0,0,0.12
746,0,0,0.42
747,0,0,0.0
748,0,0,0.08
749,0,0,0.58
750,0,0,0.24
751,0,0,0.04
752,0,1,0.61
753,0,0,0.04
754,0,0,0.0
755,0,0,0.0
756,0,0,0.12
757,0,0,0.44
758,0,0,0.59
759,0,0,0.2
760,0,1,0.63
761,0,0,0.03
762,0,0,0.15
763,0,0,0.06
764,0,0,0.16
765,0,0,0.17
766,0,0,0.5
767,0,0,0.11
768,0,0,0.11
769,0,0,0.32
770,0,0,0.16
771,0,0,0.35
772,0,0,0.5
773,0,0,0.0
774,0,0,0.0
775,0,0,0.37
776,0,0,0.33
777,0,0,0.56
778,0,0,0.15
779,0,0,0.12
780,0,0,0.14
781,0,0,0.32
782,0,0,0.13
783,0,0,0.0
784,0,0,0.21
785,0,0,0.35
786,0,1,0.86
787,0,1,0.68
788,0,1,0.65
789,0,0,0.44
502,1,1,0.67
503,1,1,0.65
504,1,1,0.84
505,1,0,0.58
506,1,1,0.69
507,1,1,0.75
508,1,1,0.72
509,1,1,0.86
510,1,0,0.34
511,1,1,0.77
