name,true_label,pred_label,prec
512,1,0,0.47
513,1,1,0.61
514,1,0,0.07
515,1,0,0.29
516,1,1,0.64
517,1,1,0.61
518,1,1,0.7
519,1,1,0.65
520,1,0,0.33
521,1,1,0.84
522,1,0,0.59
523,1,0,0.35
524,1,0,0.44
525,1,1,0.63
526,1,1,0.7
527,1,1,0.7
528,1,1,0.67
529,1,1,0.66
530,1,0,0.56
531,1,1,0.71
532,1,0,0.48
533,1,1,0.71
534,1,1,0.91
535,1,1,0.8
536,1,1,0.74
537,1,0,0.51
538,1,1,0.66
539,1,1,0.72
540,1,0,0.57
541,1,0,0.57
542,1,1,0.74
543,1,1,1.0
544,1,1,0.7
545,1,1,0.71
546,1,1,0.61
547,1,1,0.65
548,1,0,0.44
549,1,0,0.34
550,1,0,0.31
551,1,0,0.53
552,1,1,0.61
553,1,1,0.67
554,1,1,0.78
555,1,0,0.55
556,1,1,0.67
557,1,1,0.89
558,1,0,0.55
559,1,1,0.74
560,1,1,0.77
561,1,0,0.43
562,1,0,0.41
563,1,0,0.51
564,1,0,0.33
565,1,0,0.59
566,1,0,0.58
567,1,1,0.63
568,1,0,0.43
569,1,0,0.48
570,1,1,0.61
571,1,1,0.8
572,1,1,0.71
573,1,0,0.53
574,1,1,0.76
575,1,0,0.57
576,1,0,0.38
577,1,1,0.79
578,1,0,0.44
579,1,1,0.67
580,1,1,0.62
581,1,0,0.53
582,1,1,0.78
583,1,1,0.76
584,1,1,0.64
585,1,1,0.73
586,1,1,0.7
587,1,0,0.52
588,1,1,0.67
589,1,1,0.61
590,1,1,0.94
591,1,0,0.57
592,1,0,0.48
593,1,1,0.85
594,1,0,0.39
595,1,1,0.77
596,1,1,0.63
597,1,1,0.6
598,1,0,0.45
599,1,0,0.56
600,1,0,0.48
601,1,1,0.69
602,1,1,0.6
603,1,1,0.67
604,1,1,0.69
605,1,1,0.66
606,1,1,0.6
607,1,1,0.83
608,1,1,0.72
609,1,1,0.64
610,1,0,0.56
611,1,1,0.81
612,1,0,0.56
613,1,1,0.64
614,1,0,0.55
615,1,1,0.67
616,1,0,0.57
617,1,0,0.57
618,1,1,0.84
619,1,0,0.59
620,1,1,0.69
621,1,1,0.64
622,1,1,0.89
623,1,0,0.52
624,1,0,0.53
625,1,1,0.82
626,1,0,0.42
627,1,1,0.74
628,1,1,0.6
629,1,0,0.5
630,1,1,0.88
631,1,1,0.67
632,1,1,0.79
633,1,0,0.46
634,1,1,0.67
635,1,0,0.48
636,1,0,0.14
637,0,1,0.74
638,0,0,0.59
639,0,1,0.68
640,0,0,0.04
641,0,1,0.72
642,0,0,0.06
643,0,0,0.52
644,0,0,0.44
645,0,1,0.63
646,0,0,0.46
647,0,0,0.45
648,0,0,0.39
649,0,0,0.16
650,0,1,0.8
651,0,0,0.2
652,0,1,0.6
653,0,1,0.89
654,0,1,0.72
655,0,0,0.37
656,0,0,0.47
657,0,0,0.48
658,0,1,0.63
659,0,0,0.26
660,0,0,0.0
661,0,0,0.1
662,0,0,0.05
663,0,0,0.11
664,0,0,0.43
665,0,0,0.42
666,0,0,0.04
667,0,0,0.18
668,0,0,0.54
669,0,0,0.12
670,0,0,0.1
671,0,0,0.38
672,0,0,0.29
673,0,0,0.14
674,0,0,0.1
675,0,0,0.0
676,0,0,0.3
677,0,0,0.56
678,0,0,0.31
679,0,1,0.64
680,0,0,0.03
681,0,0,0.05
682,0,0,0.24
683,0,0,0.06
684,0,0,0.53
685,0,0,0.17
686,0,0,0.29
687,0,0,0.04
688,0,0,0.16
689,0,0,0.05
690,0,1,0.64
691,0,0,0.45
692,0,0,0.14
693,0,0,0.05
694,0,0,0.05
695,0,0,0.36
696,0,0,0.0
697,0,0,0.23
698,0,0,0.27
699,0,0,0.39
700,0,0,0.39
701,0,0,0.26
702,0,0,0.0
703,0,1,0.75
704,0,0,0.05
705,0,1,0.76
706,0,0,0.29
707,0,0,0.22
708,0,0,0.53
709,0,0,0.24
710,0,0,0.35
711,0,0,0.23
712,0,0,0.19
713,0,0,0.06
714,0,0,0.13
715,0,0,0.39
716,0,1,0.7
717,0,0,0.17
718,0,0,0.23
719,0,0,0.24
720,0,0,0.0
721,0,0,0.25
722,0,0,0.14
723,0,0,0.09
724,0,0,0.04
725,0,0,0.14
726,0,0,0.43
727,0,0,0.0
728,0,1,0.68
729,0,0,0.43
730,0,0,0.24
731,0,0,0.31
732,0,0,0.08
733,0,0,0.06
734,0,0,0.35
735,0,0,0.05
736,0,0,0.24
737,0,0,0.4
738,0,0,0.44
739,0,0,0.21
740,0,0,0.25
741,0,0,0.48
742,0,0,0.38
743,0,0,0.5
744,0,0,0.0
745,0,0,0.23
746,0,0,0.45
747,0,0,0.0
748,0,0,0.08
749,0,0,0.57
750,0,0,0.25
751,0,0,0.04
752,0,1,0.63
753,0,0,0.04
754,0,0,0.0
755,0,0,0.03
756,0,0,0.12
757,0,0,0.42
758,0,1,0.62
759,0,0,0.26
760,0,1,0.67
761,0,0,0.03
762,0,0,0.15
763,0,0,0.03
764,0,0,0.12
765,0,0,0.17
766,0,1,0.62
767,0,0,0.15
768,0,0,0.07
769,0,0,0.4
770,0,0,0.21
771,0,0,0.4
772,0,0,0.56
773,0,0,0.04
774,0,0,0.0
775,0,0,0.27
776,0,0,0.36
777,0,0,0.56
778,0,0,0.2
779,0,0,0.2
780,0,0,0.22
781,0,0,0.28
782,0,0,0.18
783,0,0,0.0
784,0,0,0.21
785,0,0,0.45
786,0,1,0.79
787,0,1,0.61
788,0,1,0.65
789,0,0,0.46
502,1,1,0.71
503,1,1,0.62
504,1,1,0.78
505,1,1,0.62
506,1,1,0.72
507,1,1,0.75
508,1,1,0.69
509,1,1,0.88
510,1,0,0.41
511,1,1,0.82
