name,true_label,pred_label,prec
512,1,0,0.44
513,1,1,0.67
514,1,0,0.19
515,1,1,0.65
516,1,1,0.64
517,1,0,0.57
518,1,1,0.68
519,1,1,0.66
520,1,0,0.42
521,1,1,0.77
522,1,1,0.68
523,1,0,0.38
524,1,0,0.39
525,1,0,0.48
526,1,0,0.48
527,1,0,0.53
528,1,1,0.62
529,1,1,0.8
530,1,0,0.44
531,1,1,0.74
532,1,0,0.26
533,1,1,0.76
534,1,1,0.69
535,1,1,0.74
536,1,0,0.58
537,1,0,0.49
538,1,0,0.57
539,1,1,0.66
540,1,0,0.46
541,1,0,0.36
542,1,1,0.65
543,1,1,1.0
544,1,1,0.64
545,1,1,0.78
546,1,0,0.55
547,1,1,0.65
548,1,0,0.18
549,1,0,0.31
550,1,0,0.35
551,1,0,0.38
552,1,0,0.47
553,1,1,0.69
554,1,1,0.78
555,1,1,0.79
556,1,0,0.53
557,1,1,0.93
558,1,0,0.57
559,1,1,0.78
560,1,1,0.71
561,1,0,0.33
562,1,0,0.41
563,1,0,0.53
564,1,0,0.33
565,1,1,0.71
566,1,1,0.69
567,1,1,0.74
568,1,0,0.45
569,1,0,0.49
570,1,0,0.58
571,1,1,0.62
572,1,0,0.47
573,1,0,0.57
574,1,1,0.76
575,1,0,0.37
576,1,0,0.33
577,1,1,0.75
578,1,1,0.62
579,1,1,0.67
580,1,0,0.55
581,1,0,0.53
582,1,1,0.8
583,1,1,0.71
584,1,1,0.69
585,1,0,0.4
586,1,1,0.68
587,1,0,0.46
588,1,1,0.78
589,1,0,0.45
590,1,1,0.64
591,1,1,0.61
592,1,0,0.39
593,1,1,0.91
594,1,0,0.57
595,1,1,0.81
596,1,1,0.63
597,1,0,0.56
598,1,0,0.42
599,1,0,0.28
600,1,0,0.26
601,1,0,0.41
602,1,0,0.44
603,1,1,0.67
604,1,0,0.55
605,1,1,0.74
606,1,1,0.74
607,1,1,0.81
608,1,1,0.69
609,1,0,0.59
610,1,0,0.5
611,1,1,0.69
612,1,1,0.61
613,1,0,0.57
614,1,0,0.45
615,1,1,0.67
616,1,0,0.59
617,1,1,0.68
618,1,1,0.82
619,1,0,0.48
620,1,1,0.69
621,1,0,0.54
622,1,1,0.89
623,1,0,0.5
624,1,0,0.45
625,1,1,0.68
626,1,0,0.43
627,1,1,0.62
628,1,1,0.72
629,1,0,0.53
630,1,1,0.77
631,1,1,0.63
632,1,1,0.69
633,1,0,0.41
634,1,1,0.67
635,1,0,0.41
636,1,0,0.17
637,0,1,0.71
