name,true_label,pred_label,prec
512,1,0,0.39
513,1,1,0.64
514,1,0,0.15
515,1,1,0.65
516,1,1,0.63
517,1,0,0.54
518,1,1,0.64
519,1,1,0.59
520,1,0,0.36
521,1,1,0.69
522,1,1,0.59
523,1,0,0.37
524,1,0,0.39
525,1,0,0.42
526,1,0,0.48
527,1,0,0.47
528,1,0,0.53
529,1,1,0.74
530,1,0,0.44
531,1,0,0.53
532,1,0,0.22
533,1,1,0.74
534,1,1,0.67
535,1,1,0.68
536,1,0,0.49
537,1,0,0.42
538,1,0,0.53
539,1,1,0.63
540,1,0,0.43
541,1,0,0.31
542,1,1,0.6
543,1,1,1.0
544,1,1,0.61
545,1,1,0.78
546,1,0,0.52
547,1,1,0.63
548,1,0,0.12
549,1,0,0.26
550,1,0,0.25
551,1,0,0.35
552,1,0,0.46
553,1,1,0.69
554,1,1,0.78
555,1,1,0.74
556,1,0,0.5
557,1,1,0.91
558,1,0,0.55
559,1,1,0.77
560,1,1,0.61
561,1,0,0.33
562,1,0,0.35
563,1,0,0.49
564,1,0,0.33
565,1,1,0.64
566,1,1,0.67
567,1,1,0.68
568,1,0,0.43
569,1,0,0.46
570,1,1,0.55
571,1,1,0.56
572,1,0,0.39
573,1,0,0.55
574,1,1,0.68
575,1,0,0.37
576,1,0,0.31
577,1,1,0.73
578,1,0,0.54
579,1,1,0.64
580,1,0,0.49
581,1,0,0.47
582,1,1,0.62
583,1,1,0.66
584,1,1,0.64
585,1,0,0.35
586,1,1,0.55
587,1,0,0.4
588,1,1,0.76
589,1,0,0.45
590,1,1,0.58
591,1,1,0.57
592,1,0,0.28
593,1,1,0.87
594,1,1,0.57
595,1,1,0.69
596,1,1,0.63
597,1,0,0.49
598,1,0,0.39
599,1,0,0.25
600,1,0,0.22
601,1,0,0.41
602,1,0,0.4
603,1,1,0.58
604,1,0,0.5
605,1,1,0.71
606,1,1,0.67
607,1,1,0.72
608,1,1,0.67
609,1,0,0.5
610,1,0,0.38
611,1,1,0.62
612,1,0,0.54
613,1,0,0.51
614,1,0,0.41
615,1,1,0.67
616,1,1,0.56
617,1,0,0.55
618,1,1,0.82
619,1,0,0.42
620,1,1,0.56
621,1,0,0.44
622,1,1,0.82
623,1,0,0.39
624,1,0,0.4
625,1,1,0.68
626,1,0,0.36
627,1,1,0.6
628,1,1,0.72
629,1,0,0.45
630,1,1,0.73
631,1,1,0.6
632,1,1,0.66
633,1,0,0.35
634,1,1,0.64
635,1,0,0.33
636,1,0,0.14
637,0,1,0.69
638,0,0,0.45
639,0,0,0.12
640,0,0,0.09
641,0,1,0.64
642,0,0,0.22
643,0,0,0.43
644,0,0,0.33
645,0,0,0.47
646,0,0,0.15
647,0,0,0.23
648,0,0,0.29
649,0,0,0.05
650,0,1,0.6
651,0,0,0.27
652,0,1,0.58
653,0,1,0.61
654,0,0,0.28
655,0,0,0.21
656,0,0,0.33
657,0,0,0.48
658,0,0,0.53
659,0,0,0.33
660,0,0,0.15
661,0,0,0.05
662,0,0,0.0
663,0,0,0.11
664,0,0,0.3
665,0,0,0.42
666,0,0,0.13
667,0,0,0.05
668,0,0,0.11
669,0,0,0.05
670,0,0,0.24
671,0,0,0.15
672,0,0,0.24
673,0,0,0.14
674,0,0,0.0
675,0,0,0.0
676,0,0,0.24
677,0,1,0.56
678,0,0,0.19
679,0,1,0.64
680,0,0,0.0
681,0,0,0.15
682,0,0,0.29
683,0,0,0.06
684,0,0,0.2
685,0,0,0.22
686,0,0,0.04
687,0,0,0.13
688,0,0,0.22
689,0,0,0.14
690,0,0,0.53
691,0,1,0.6
692,0,0,0.09
693,0,0,0.19
694,0,0,0.0
695,0,0,0.33
696,0,0,0.0
697,0,0,0.06
698,0,0,0.13
699,0,0,0.09
700,0,0,0.25
701,0,0,0.11
702,0,0,0.0
703,0,0,0.43
704,0,0,0.11
705,0,1,0.61
706,0,0,0.47
707,0,0,0.1
708,0,0,0.37
709,0,0,0.05
710,0,0,0.26
711,0,0,0.14
712,0,0,0.1
713,0,0,0.0
714,0,0,0.33
715,0,0,0.22
716,0,0,0.47
717,0,0,0.0
718,0,0,0.14
719,0,0,0.21
720,0,0,0.0
721,0,0,0.04
722,0,0,0.0
723,0,0,0.18
724,0,0,0.08
725,0,0,0.05
726,0,0,0.25
727,0,0,0.12
728,0,0,0.51
729,0,0,0.39
730,0,0,0.29
731,0,0,0.25
732,0,0,0.04
733,0,0,0.17
734,0,0,0.2
735,0,0,0.4
736,0,0,0.29
737,0,0,0.53
738,0,0,0.48
739,0,0,0.14
740,0,0,0.05
741,0,0,0.5
742,0,0,0.29
743,0,0,0.14
744,0,0,0.0
745,0,0,0.35
