name,true_label,pred_label,prec
512,1,1,0.5
513,1,1,0.7
514,1,0,0.19
515,1,1,0.68
516,1,1,0.67
517,1,1,0.61
518,1,1,0.73
519,1,1,0.71
520,1,0,0.39
521,1,1,0.78
522,1,1,0.65
523,1,0,0.42
524,1,0,0.45
525,1,1,0.63
526,1,1,0.52
527,1,1,0.57
528,1,1,0.6
529,1,1,0.8
530,1,0,0.44
531,1,1,0.74
532,1,0,0.33
533,1,1,0.76
534,1,1,0.7
535,1,1,0.78
536,1,1,0.68
537,1,1,0.53
538,1,1,0.66
539,1,1,0.69
540,1,1,0.54
541,1,0,0.45
542,1,1,0.72
543,1,1,1.0
544,1,1,0.7
545,1,1,0.76
546,1,1,0.61
547,1,1,0.67
548,1,0,0.32
549,1,0,0.33
550,1,0,0.4
551,1,0,0.44
552,1,0,0.49
553,1,1,0.71
554,1,1,0.84
555,1,1,0.81
556,1,1,0.52
557,1,1,0.98
558,1,1,0.57
559,1,1,0.79
560,1,1,0.76
561,1,0,0.43
562,1,0,0.48
563,1,1,0.51
564,1,1,0.5
565,1,1,0.69
566,1,1,0.77
567,1,1,0.77
568,1,1,0.55
569,1,0,0.49
570,1,1,0.63
571,1,1,0.67
572,1,0,0.47
573,1,1,0.59
574,1,1,0.7
575,1,0,0.43
576,1,0,0.36
577,1,1,0.75
578,1,1,0.67
579,1,1,0.73
580,1,1,0.61
581,1,1,0.62
582,1,1,0.76
583,1,1,0.71
584,1,1,0.69
585,1,1,0.52
586,1,1,0.71
587,1,1,0.51
588,1,1,0.8
589,1,0,0.45
590,1,1,0.58
591,1,1,0.61
592,1,0,0.33
593,1,1,0.91
594,1,1,0.65
595,1,1,0.88
596,1,1,0.63
597,1,1,0.54
598,1,0,0.42
599,1,0,0.25
600,1,0,0.28
601,1,1,0.55
602,1,1,0.51
603,1,1,0.67
604,1,1,0.61
605,1,1,0.76
606,1,1,0.76
607,1,1,0.87
608,1,1,0.69
609,1,1,0.68
610,1,0,0.44
611,1,1,0.74
612,1,1,0.72
613,1,1,0.57
614,1,1,0.51
615,1,1,0.7
616,1,1,0.6
617,1,1,0.73
618,1,1,0.84
619,1,1,0.51
620,1,1,0.69
621,1,1,0.61
622,1,1,0.92
623,1,1,0.57
624,1,1,0.57
625,1,1,0.74
626,1,0,0.47
627,1,1,0.65
628,1,1,0.78
629,1,1,0.53
630,1,1,0.86
631,1,1,0.65
632,1,1,0.77
633,1,1,0.5
634,1,1,0.69
635,1,0,0.48
636,1,0,0.28
637,0,1,0.74
638,0,0,0.45
639,0,0,0.16
640,0,0,0.09
641,0,1,0.72
642,0,0,0.28
643,0,0,0.48
644,0,1,0.52
645,0,1,0.57
646,0,0,0.27
647,0,0,0.23
648,0,0,0.39
649,0,0,0.05
650,0,1,0.63
651,0,0,0.27
652,0,1,0.6
653,0,1,0.69
654,0,0,0.32
655,0,0,0.24
656,0,0,0.4
657,0,1,0.56
658,0,1,0.56
659,0,0,0.38
660,0,0,0.26
661,0,0,0.07
662,0,0,0.0
663,0,0,0.14
664,0,0,0.3
665,0,1,0.5
666,0,0,0.17
667,0,0,0.18
668,0,0,0.29
669,0,0,0.05
670,0,0,0.28
671,0,0,0.31
672,0,0,0.29
673,0,0,0.14
