name,true_label,pred_label,prec
512,1,0,0.47
513,1,1,0.68
514,1,0,0.19
515,1,1,0.71
516,1,1,0.68
517,1,0,0.59
518,1,1,0.7
519,1,1,0.7
520,1,0,0.42
521,1,1,0.77
522,1,1,0.76
523,1,0,0.4
524,1,0,0.45
525,1,0,0.53
526,1,0,0.48
527,1,0,0.53
528,1,1,0.68
529,1,1,0.8
530,1,0,0.47
531,1,1,0.76
532,1,0,0.37
533,1,1,0.82
534,1,1,0.73
535,1,1,0.78
536,1,1,0.63
537,1,0,0.51
538,1,1,0.66
539,1,1,0.7
540,1,0,0.53
541,1,0,0.43
542,1,1,0.7
543,1,1,1.0
544,1,1,0.67
545,1,1,0.79
546,1,1,0.65
547,1,1,0.69
548,1,0,0.26
549,1,0,0.34
550,1,0,0.44
551,1,0,0.5
552,1,0,0.51
553,1,1,0.74
554,1,1,0.81
555,1,1,0.81
556,1,0,0.55
557,1,1,0.96
558,1,0,0.58
559,1,1,0.8
560,1,1,0.76
561,1,0,0.33
562,1,0,0.48
563,1,0,0.56
564,1,0,0.42
565,1,1,0.73
566,1,1,0.71
567,1,1,0.79
568,1,0,0.52
569,1,0,0.49
570,1,1,0.61
571,1,1,0.64
572,1,0,0.5
573,1,0,0.59
574,1,1,0.78
575,1,0,0.37
576,1,0,0.33
577,1,1,0.79
578,1,1,0.64
579,1,1,0.78
580,1,0,0.58
581,1,0,0.59
582,1,1,0.8
583,1,1,0.76
584,1,1,0.72
585,1,0,0.46
586,1,1,0.7
587,1,0,0.51
588,1,1,0.8
589,1,0,0.48
590,1,1,0.69
591,1,1,0.65
592,1,0,0.43
593,1,1,0.93
594,1,1,0.65
595,1,1,0.85
596,1,1,0.63
597,1,0,0.59
598,1,0,0.52
599,1,0,0.31
600,1,0,0.29
601,1,0,0.45
602,1,0,0.53
603,1,1,0.75
604,1,1,0.61
605,1,1,0.79
606,1,1,0.75
607,1,1,0.85
608,1,1,0.72
609,1,1,0.64
610,1,0,0.56
611,1,1,0.75
612,1,1,0.64
613,1,1,0.6
614,1,0,0.51
615,1,1,0.7
616,1,1,0.62
617,1,1,0.73
618,1,1,0.84
619,1,0,0.54
620,1,1,0.7
621,1,1,0.61
622,1,1,0.95
623,1,0,0.57
624,1,0,0.55
625,1,1,0.74
626,1,0,0.5
627,1,1,0.65
628,1,1,0.76
629,1,0,0.55
630,1,1,0.82
631,1,1,0.7
632,1,1,0.74
633,1,0,0.41
634,1,1,0.72
635,1,0,0.48
636,1,0,0.24
637,0,1,0.71
638,0,0,0.59
639,0,0,0.12
640,0,0,0.09
641,0,1,0.72
642,0,0,0.28
643,0,0,0.52
644,0,0,0.44
645,0,1,0.63
646,0,0,0.31
647,0,0,0.23
648,0,0,0.35
649,0,0,0.05
650,0,1,0.67
651,0,0,0.33
652,0,1,0.63
653,0,1,0.69
654,0,0,0.4
655,0,0,0.21
656,0,0,0.43
657,0,1,0.64
658,0,0,0.58
659,0,0,0.36
660,0,0,0.19
661,0,0,0.1
662,0,0,0.0
663,0,0,0.14
664,0,0,0.3
665,0,0,0.5
666,0,0,0.17
667,0,0,0.14
668,0,0,0.23
669,0,0,0.05
670,0,0,0.24
671,0,0,0.25
672,0,0,0.29
673,0,0,0.14
674,0,0,0.1
675,0,0,0.0
676,0,0,0.3
677,0,1,0.62
678,0,0,0.35
679,0,1,0.64
680,0,0,0.0
681,0,0,0.3
682,0,0,0.35
683,0,0,0.06
684,0,0,0.37
685,0,0,0.22
686,0,0,0.17
687,0,0,0.13
688,0,0,0.22
689,0,0,0.14
690,0,1,0.67
691,0,1,0.65
692,0,0,0.2
693,0,0,0.19
694,0,0,0.0
695,0,0,0.33
696,0,0,0.0
697,0,0,0.13
698,0,0,0.13
699,0,0,0.09
700,0,0,0.31
701,0,0,0.17
702,0,0,0.0
703,0,1,0.68
704,0,0,0.11
705,0,1,0.67
706,0,0,0.47
707,0,0,0.16
708,0,0,0.47
709,0,0,0.13
710,0,0,0.35
711,0,0,0.14
712,0,0,0.14
713,0,0,0.06
714,0,0,0.4
715,0,0,0.3
716,0,1,0.62
717,0,0,0.04
718,0,0,0.18
719,0,0,0.21
720,0,0,0.0
721,0,0,0.08
722,0,0,0.05
723,0,0,0.18
724,0,0,0.08
725,0,0,0.18
726,0,0,0.29
727,0,0,0.12
728,0,0,0.59
729,0,0,0.39
730,0,0,0.38
731,0,0,0.25
732,0,0,0.08
