name,true_label,pred_label,prec
512,1,0,0.5
513,1,1,0.71
514,1,0,0.26
515,1,1,0.71
516,1,1,0.67
517,1,1,0.7
518,1,1,0.75
519,1,1,0.73
520,1,0,0.44
521,1,1,0.78
522,1,1,0.74
523,1,0,0.42
524,1,0,0.5
525,1,1,0.65
526,1,1,0.59
527,1,1,0.64
528,1,1,0.68
529,1,1,0.82
530,1,0,0.47
531,1,1,0.82
532,1,0,0.33
533,1,1,0.79
534,1,1,0.76
535,1,1,0.82
536,1,1,0.72
537,1,0,0.53
538,1,1,0.71
539,1,1,0.73
540,1,1,0.6
541,1,0,0.48
542,1,1,0.72
543,1,1,1.0
544,1,1,0.76
545,1,1,0.78
546,1,1,0.67
547,1,1,0.7
548,1,0,0.32
549,1,0,0.41
550,1,0,0.48
551,1,0,0.5
552,1,0,0.54
553,1,1,0.74
554,1,1,0.84
555,1,1,0.81
556,1,0,0.55
557,1,1,0.98
558,1,1,0.57
559,1,1,0.82
560,1,1,0.77
561,1,0,0.48
562,1,0,0.49
563,1,1,0.63
564,1,1,0.58
565,1,1,0.73
566,1,1,0.79
567,1,1,0.81
568,1,1,0.57
569,1,0,0.52
570,1,1,0.66
571,1,1,0.68
572,1,1,0.58
573,1,1,0.63
574,1,1,0.76
575,1,0,0.51
576,1,0,0.36
577,1,1,0.77
578,1,1,0.67
579,1,1,0.79
580,1,1,0.61
581,1,1,0.74
582,1,1,0.84
583,1,1,0.76
584,1,1,0.74
585,1,1,0.58
586,1,1,0.71
587,1,1,0.55
588,1,1,0.8
589,1,0,0.52
590,1,1,0.64
591,1,1,0.61
592,1,0,0.43
593,1,1,0.96
594,1,1,0.74
595,1,1,0.96
596,1,1,0.63
597,1,1,0.62
598,1,0,0.45
599,1,0,0.31
600,1,0,0.31
601,1,1,0.66
602,1,1,0.64
603,1,1,0.75
604,1,1,0.68
605,1,1,0.76
606,1,1,0.8
607,1,1,0.94
608,1,1,0.77
609,1,1,0.73
610,1,0,0.5
